id;adresse_norm
954094;5042  LAS ROQUES ET LAS BOUYSSES 82240 LABASTIDE-DE-PENNE
954340;6057  LA CROIX DES MAURES 8230 ROCROI
954342;6097  LE PAQUIS 8230 ROCROI
954777;5096  LES-BRIANTS 8240 LANDRES-ET-SAINT-GEORGES
954804;5060  LE VILLAGE 8240 VERPEL
954805;5081  LE VILLAGE 8240 VERPEL
955059;5056  LE-VILLAGE 8250 MOURON
955195;5169  TAILLE DE DEVANT 8260 ETEIGNIERES
955128;42 RUE MAL FOCH 82500 BEAUMONT DE LOMAGNE
955713;22 RUE DE MON PLAISIR 8290 RUMIGNY
955866;19 RUE THIERS 8300 RETHEL
956074;43 RUE DE LA BERGERIE 83000 TOULON
956202;42 RUE DES RIAUX 83000 TOULON
956294;142 RUE EMILE OLLIVIER 83000 TOULON
956367;1228 COR GENERAL DE GAULLE 83000 TOULON
956761; CHE DE MENIL L EPINOIS 8310 JUNIVILLE
957326;9018 VC PINEDE DE LA PLAGE DOREE 83110 SANARY SUR MER
958429;41 TRA DES CHARMETTES 83140 SIX-FOURS-LES-PLAGES
958735;27 LOT LES COTEAUX DE MACHOTTES 83143 LE VAL
959231;414 CHE DE LA PERTE 83170 BRIGNOLES
959761;390 VC CAR. DU COLLET ST PIERRE 83200 TOULON
959663;19 RUE MICHEL PETITFRERE 8320 VIREUX WALLERAND
960176;9001 VC MONTEE ST CHARLES 83200 TOULON
960028;869 RUE EDOUARD HERRIOT 83200 TOULON
960177;93 VC MONTEE ST CHARLES 83200 TOULON
961547;5065  LA VALLEE BERGER 8330 VRIGNE AUX BOIS
964417;6658  LES CHAUMETTES 83440 MONTAUROUX
965258;5215  ENTREE DE BIAS 8350 SAINT-AIGNAN
965340;4 ALL BRIN DE JONC 83500 LA SEYNE SUR MER
965341;302 VC C C N 122 DIT DE DANIEL 83500 LA SEYNE SUR MER
965350;9001  CANOUBIERS SAGNARELLES 5 83500 LA SEYNE SUR MER
965343;9002 VC C C N 122 DIT DE DANIEL 83500 LA SEYNE SUR MER
965507;4 RUE DU LOT MAZERES III 83500 LA SEYNE SUR MER
965342;864 VC C C N 122 DIT DE DANIEL 83500 LA SEYNE SUR MER
965669;9067  LE PAS DU LOUP 83500 LA SEYNE SUR MER
965724;193 CC N 105 DIT DES PLAINES 83500 LA SEYNE SUR MER
965727;57 CC N 159 DE LA GRANDE PLAINE 83500 LA SEYNE SUR MER
965730;105 CC N 207 DIT DE LA FERME 83500 LA SEYNE SUR MER
965728;9005 CC N 168 DIT DE PIEDARDAN 83500 LA SEYNE SUR MER
965643;563 CHE JEAN GHIBAUDO 83500 LA SEYNE SUR MER
968378;5043 RUE DU POINT DU JOUR 8370 SAPOGNE-SUR-MARCHE
968542;44 ALL DE VAULONGUE 83700 SAINT RAPHAEL
969643;5055  LIGNE DU CANAL 8390 MONTGON
971372;447 VC N 19 DU GUE DE BEAULIEU 84100 ORANGE
971371;326 VC N 19 DU GUE DE BEAULIEU 84100 ORANGE
971568;90 CHE DES ABEILLES 84110 VAISON-LA-ROMAINE
972124;20 RUE DE LA MIGNONNE MFT 84140 AVIGNON
972587;5067 RUE PORTAIL NEUF 84190 BEAUMES-DE-VENISE
975387;5172 VC LES PRES DE LA BARRIERE 8450 ANGECOURT
976783;5097  PRES SAINT PIERRE 8500 ANCHAMPS
976800;5324  FRAY ET MANNESART 8500 LES MAZURES
976801;5383  FRAY ET MANNESART 8500 LES MAZURES
976799;5310  FRAY ET MANNESART 8500 LES MAZURES
978472;1414  ZA L OREE DU BOIS 85120 SAINT-PIERRE-DU-CHEMIN
978666;11 RUE SAINT AUBIN 85130 TIFFAUGES
978874;15 RUE DE LA CHAPELLE 85150 LES ACHARDS
978896;8 RUE DES LILAS 85150 LES ACHARDS
980158;36 RUE DU CALVAIRE 85190 MACHE
982501;20 RUE DE L OCEAN 85300 FROIDFOND
983013;3 RUE DE LA POSTE 85330 NOIRMOUTIER-EN-L'ILE
984113;5064  LA VIALLIERE 85410 SAINT-SULPICE-EN-PAREDS
984114;5221  LE PAILLY 85410 SAINT-SULPICE-EN-PAREDS
983962;20 CHE DU GATY 85400 LUCON
984189;13 RUE DE LA BONDE 85420 SAINT-PIERRE-LE-VIEUX
985975;127 RUE DE LA MARE 85560 LONGEVILLE-SUR-MER
986482;10  LA LIMOUZINIERE ST GEORGES 85600 MONTAIGU-VENDEE
986569;5414  LA CHARDONNIERE 85600 TREIZE-SEPTIERS
986791;5463  LES GRIMAUDIERES 85660 SAINT-PHILBERT-DE-BOUAINE
986884;1  LA MARTINIERE 85670 SAINT-CHRISTOPHE-DU-LIGNERON
987438;42 RUE DE L HOTEL DE VILLE 85740 EPINE (L')
988602;126 BD DES ROCS 86000 POITIERS
988732;9016 RUE DU PIED DE GROLLE 86000 POITIERS
988748;9 RUE DU PONTREAU 86000 POITIERS
988771;24 RUE DU TOUFFENET 86000 POITIERS
989559;5 RUE GRAND RUE 86110 CHOUPPES
990007;5540  LE PETIT ESSART 86150 LE VIGEANT
991075;5649  BEAU REPERE 86240 FONTAINE-LE-COMTE
991390;6 PL DE L'EGLISE 86270 MAIRE
991820;6  BOIS HERPIN 86310 SAINT-GERMAIN
992835;19 RUE DE VERNEUIL 86440 MIGNE-AUXANCES
993926;5341  VIEUX PRES 8700 JOIGNY-SUR-MEUSE
997143;5317  MONPOUTIER 87310 COGNAC-LA-FORET
998103;20 RTE DES ETANGS 87480 SAINT-PRIEST-TAURION
998538;12 RUE DE LA GARE 87600 ROCHECHOUART
998526;4 PL DE BABAUDUS 87600 ROCHECHOUART
998544;5 RTE DE LASCAUX 87600 ROCHECHOUART
998541;1 PL DE LA ROYERE 87600 ROCHECHOUART
998521;5051  LES NEPLES 87600 CHERONNAC
998542;23 RUE DE LA ROYERE 87600 ROCHECHOUART
998547;30 RTE DE SAINT JUNIEN 87600 ROCHECHOUART
998518;5059  LE BUISSON 87600 CHERONNAC
998546;2 RUE DE MONACO 87600 ROCHECHOUART
998562;10 RUE DU DOC CHARLES POITEVIN 87600 ROCHECHOUART
998552;14 RPE DES MARECHAUX 87600 ROCHECHOUART
998559;18 RTE DU BREUIL DE VAYRES 87600 ROCHECHOUART
998529;10 IMP DE BIENNAC 87600 ROCHECHOUART
998512;5078  BORD 87600 CHERONNAC
998525;8  CHEZ SANSONNET 87600 ROCHECHOUART
998545;3 VEN DE LASCAUX 87600 ROCHECHOUART
998563;22 RUE DU DOC CHARLES POITEVIN 87600 ROCHECHOUART
998517;5124  LE BREUIL 87600 CHERONNAC
998556;50 RUE DES VIGNES 87600 ROCHECHOUART
998553;16 RPE DES MARECHAUX 87600 ROCHECHOUART
998543;35 RTE DE LASCAUX 87600 ROCHECHOUART
998535;2 IMP DE LA CHABAUDIE 87600 ROCHECHOUART
998561;14 RUE DU CHATEAU D EAU 87600 ROCHECHOUART
998554;5425 RUE DES PRIERES 87600 ROCHECHOUART
998548;7 RTE DE SAINT JUNIEN 87600 ROCHECHOUART
998524;5 BD CARNOT 87600 ROCHECHOUART
998531;17 RUE DE CHAMPAGNAC 87600 ROCHECHOUART
998516;5021  LE BOURG 87600 CHERONNAC
998528;27 RTE DE BABAUDUS 87600 ROCHECHOUART
998540;25 RTE DE LA POUGE 87600 ROCHECHOUART
998533;39 RUE DE CHEZ FRUGIER 87600 ROCHECHOUART
998551;4 RUE DES BRUYERES 87600 ROCHECHOUART
998536;13 RUE DE LA FABRIQUE 87600 ROCHECHOUART
998513;5221  BUSSAC 87600 CHERONNAC
998555;4 CHE DES REMPARTS 87600 ROCHECHOUART
998537;10 RUE DE LA FEUILLADE 87600 ROCHECHOUART
998550;11 VEN DE VIVIENAS 87600 ROCHECHOUART
998532;4 RUE DE CHAMPAGNAC 87600 ROCHECHOUART
998530;10 RUE DE CHAMPAGNAC 87600 ROCHECHOUART
998523;6508  BONNAUD 87600 ROCHECHOUART
998534;41 RUE DE FONTBOUILLANT 87600 ROCHECHOUART
998520;5251  LE CHATEAU 87600 CHERONNAC
998515;5176  LA FERANCHIE 87600 CHERONNAC
998557;56 RUE DES VIGNES 87600 ROCHECHOUART
998569;10 RUE DU PONT DE GORRE 87600 ROCHECHOUART
998565;8 RUE DU DOC CHARLES POITEVIN 87600 ROCHECHOUART
998527;4 RLE DE BABAUDUS 87600 ROCHECHOUART
998558;4 SEN DU BREUIL DE GORRE 87600 ROCHECHOUART
998570;68 FG DU PUY DU MOULIN 87600 ROCHECHOUART
998564;31 RUE DU DOC CHARLES POITEVIN 87600 ROCHECHOUART
998522;5799  LES NEPLES 87600 CHERONNAC
998519;5060  LE BUISSON 87600 CHERONNAC
998560;10 RUE DU CHATEAU D EAU 87600 ROCHECHOUART
998549;17 RUE DE VERINAS 87600 ROCHECHOUART
998539;14 BD DE LA GROSILLE 87600 ROCHECHOUART
998514;5118  CHATILLOU 87600 CHERONNAC
998568;5 RUE DU PETIT CHATENET 87600 ROCHECHOUART
998571;1 RUE DU STADE 87600 ROCHECHOUART
998566;13 RUE DU GD VIGNOBLE 87600 ROCHECHOUART
998567;35 RUE DU GD VIGNOBLE 87600 ROCHECHOUART
998578;6090  LA VALADE 87600 ROCHECHOUART
998584;13 RUE PASTEUR 87600 ROCHECHOUART
998575;11 RUE JOLIOT CURIE 87600 ROCHECHOUART
998572;5723  FONDBOUILLANT 87600 ROCHECHOUART
998577;6518  LA PETITE LANDE 87600 ROCHECHOUART
998573;13 BD GAY LUSSAC 87600 ROCHECHOUART
998581;30 RUE MORTEMART 87600 ROCHECHOUART
998582;8 RUE PABLO PICASSO 87600 ROCHECHOUART
998583;12 RUE PASTEUR 87600 ROCHECHOUART
998574;14 AV JEAN JAURES 87600 ROCHECHOUART
998580;12 RUE MAURICE THOREZ 87600 ROCHECHOUART
998576;24 RUE JOLIOT CURIE 87600 ROCHECHOUART
998579;6569  LES PAISSES 87600 ROCHECHOUART
998589;5012 RUE BELLES ROSES 87600 VAYRES
